city,temp,description,temp_min,temp_max,my_timezone,sunrise_local,sunset_local,dt_local_datetime,dt_colab
Resistencia,33.07,clear sky,32.99,33.38,-3.0,07:35:16,18:28:47,2023-08-04 17:10:10,2023-08-04T14:10:10
City of London,16.56,overcast clouds,14.68,18.32,1.0,01:27:58,16:44:58,2023-08-04 17:05:42,2023-08-04T14:05:42
New York,24.86,overcast clouds,22.97,26.16,-4.0,06:55:18,21:08:57,2023-08-04 17:04:10,2023-08-04T14:04:10
Cordoba,32.57,clear sky,32.57,32.57,2.0,02:24:27,16:25:58,2023-08-04 17:10:26,2023-08-04T14:10:26
Taipei,25.85,light rain,25.77,26.69,8.0,18:22:26,07:36:27,2023-08-04 17:10:27,2023-08-04T14:10:27
Buenos Aires F.D.,17.55,clear sky,16.66,18.41,-3.0,07:45:08,18:14:39,2023-08-04 17:06:23,2023-08-04T14:06:23
Mexico City,22.96,light rain,21.25,23.95,-6.0,09:13:44,22:11:27,2023-08-04 17:07:08,2023-08-04T14:07:08
Dublin City,14.99,moderate rain,13.85,16.14,1.0,01:45:31,17:16:41,2023-08-04 17:10:31,2023-08-04T14:10:31
Tbilisi,20.84,clear sky,20.84,20.84,4.0,22:58:16,13:15:07,2023-08-04 17:10:04,2023-08-04T14:10:04
Bogota,19.73,broken clouds,19.73,19.73,-5.0,07:53:11,20:11:39,2023-08-04 17:06:08,2023-08-04T14:06:08
Tokyo,28.93,scattered clouds,27.08,30.35,9.0,16:51:38,06:42:56,2023-08-04 17:10:00,2023-08-04T14:10:00
