city,temp,description,temp_min,temp_max,my_timezone,sunrise_local,sunset_local,dt_local_datetime,dt_colab
Resistencia,18.87,clear sky,18.36,19.03,-3.0,07:29:15,18:32:58,2023-08-12 17:55:37,2023-08-12T14:55:37
City of London,17.86,broken clouds,16.14,18.88,1.0,01:40:31,16:30:36,2023-08-12 17:57:44,2023-08-12T14:57:44
New York,27.75,scattered clouds,24.96,31.3,-4.0,07:03:11,20:59:11,2023-08-12 17:50:52,2023-08-12T14:50:52
Cordoba,34.57,clear sky,34.57,34.57,2.0,02:31:28,16:17:08,2023-08-12 18:00:33,2023-08-12T15:00:33
Taipei,25.5,few clouds,24.01,28.15,8.0,18:26:11,07:30:47,2023-08-12 18:00:34,2023-08-12T15:00:34
Buenos Aires F.D.,11.21,smoke,10.6,11.94,-3.0,07:37:22,18:20:33,2023-08-12 17:59:01,2023-08-12T14:59:01
Mexico City,24.94,few clouds,24.94,24.94,-6.0,09:16:21,22:07:01,2023-08-12 17:54:12,2023-08-12T14:54:12
Dublin City,16.48,scattered clouds,16.09,16.91,1.0,01:59:10,17:01:12,2023-08-12 17:59:43,2023-08-12T14:59:43
Tbilisi,27.84,clear sky,27.84,27.84,4.0,23:06:32,13:04:55,2023-08-12 18:00:03,2023-08-12T15:00:03
Bogota,17.73,scattered clouds,17.73,17.73,-5.0,07:53:05,20:09:53,2023-08-12 17:58:14,2023-08-12T14:58:14
Tokyo,26.31,broken clouds,25.34,27.1,9.0,16:58:00,06:34:39,2023-08-12 18:00:01,2023-08-12T15:00:01
